State,County,ZIP,Target Home Value Range,Estimated Population,Estimated Lead Volume,Priority,Reason,Suggested Lead Pull Criteria
AL,Vinemont Zip Market,35179,$158k-$350k,25.0,25.0,High,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36108,$75k-$112k,35.0,35.0,High,"Within the configured 45-minute drive market for Montgomery; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Pell City Zip Market,35128,$247k-$350k,53.0,53.0,High,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Ardmore Zip Market,35739,$170k-$350k,25.0,25.0,High,"Within the configured 45-minute drive market for Huntsville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36604,$144k-$350k,52.0,52.0,High,"Within the configured 45-minute drive market for Mobile; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Athens Zip Market,35614,$163k-$350k,34.0,34.0,Medium,"Within the configured 45-minute drive market for Huntsville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35801,$262k-$350k,96.0,96.0,Medium,"Within the configured 45-minute drive market for Huntsville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Dora Zip Market,35062,$142k-$350k,34.0,34.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Citronelle Zip Market,36522,$110k-$288k,28.0,28.0,Medium,"Within the configured 45-minute drive market for Mobile; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Fairfield Zip Market,35064,$75k-$113k,34.0,34.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35234,$87k-$228k,22.0,22.0,Medium,"Within the configured 45-minute drive market for Birmingham; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Rogersville Zip Market,35652,$208k-$350k,57.0,57.0,Medium,"Within the configured 45-minute drive market for Huntsville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Grant Zip Market,35747,$221k-$350k,30.0,30.0,Medium,"Within the configured 45-minute drive market for Huntsville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Tuskegee Zip Market,36083,$75k-$171k,14.0,14.0,Medium,"Within the configured 45-minute drive market for Montgomery; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Cropwell Zip Market,35054,$215k-$350k,37.0,37.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36104,$121k-$315k,27.0,27.0,Medium,"Within the configured 45-minute drive market for Montgomery; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Crane Hill Zip Market,35053,$447k-$350k,111.0,111.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Cullman Zip Market,35057,$261k-$350k,64.0,64.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Eclectic Zip Market,36024,$385k-$350k,54.0,54.0,Medium,"Within the configured 45-minute drive market for Montgomery; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Sterrett Zip Market,35147,$238k-$350k,36.0,36.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Wilsonville Zip Market,35186,$304k-$350k,20.0,20.0,Medium,"Within the configured 45-minute drive market for Birmingham; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Brownsboro Zip Market,35741,$310k-$350k,14.0,14.0,Medium,"Within the configured 45-minute drive market for Huntsville; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Remlap Zip Market,35133,$187k-$350k,13.0,13.0,Medium,"Within the configured 45-minute drive market for Birmingham; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Bremen Zip Market,35033,$456k-$350k,40.0,40.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Union Grove Zip Market,35175,$239k-$350k,26.0,26.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Port Charlotte Zip Market,33952,$130k-$271k,326.0,326.0,High,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Leesburg Zip Market,34748,$167k-$353k,363.0,363.0,High,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Myers Zip Market,33913,$254k-$537k,452.0,452.0,High,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33707,$215k-$455k,295.0,295.0,High,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,West Palm Beach Zip Market,33415,$130k-$253k,226.0,226.0,High,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Cape Coral Zip Market,33990,$214k-$451k,197.0,197.0,Medium,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Lauderdale Zip Market,33309,$160k-$338k,248.0,248.0,Medium,"Within the configured 45-minute drive market for Fort Lauderdale; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Oldsmar Zip Market,34677,$191k-$404k,154.0,154.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32822,$130k-$209k,196.0,196.0,Medium,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tavares Zip Market,32778,$184k-$388k,175.0,175.0,Medium,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pompano Beach Zip Market,33064,$201k-$425k,424.0,424.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Homestead Zip Market,33032,$248k-$524k,370.0,370.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Bradenton Zip Market,34209,$219k-$463k,307.0,307.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,North Port Zip Market,34287,$163k-$345k,210.0,210.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tarpon Springs Zip Market,34689,$227k-$480k,209.0,209.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Brooksville Zip Market,34601,$269k-$550k,135.0,135.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Port Charlotte Zip Market,33948,$167k-$353k,219.0,219.0,Medium,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Myers Zip Market,33919,$134k-$282k,417.0,417.0,Medium,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Orlando Zip Market,32832,$294k-$550k,207.0,207.0,Medium,"Within the configured 45-minute drive market for Orlando; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Saint Petersburg Zip Market,33705,$218k-$460k,173.0,173.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lehigh Acres Zip Market,33936,$132k-$280k,263.0,263.0,Medium,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Bradenton Zip Market,34210,$163k-$344k,259.0,259.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pompano Beach Zip Market,33069,$139k-$294k,313.0,313.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Sarasota Zip Market,34232,$187k-$394k,151.0,151.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Deerfield Beach Zip Market,33442,$130k-$160k,434.0,434.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Brooksville Zip Market,34614,$209k-$442k,138.0,138.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Sarasota Zip Market,34241,$355k-$550k,139.0,139.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Lauderdale Zip Market,33322,$130k-$158k,432.0,432.0,Medium,"Within the configured 45-minute drive market for Fort Lauderdale; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Tampa Zip Market,33611,$310k-$550k,233.0,233.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Lake Worth Zip Market,33462,$187k-$395k,210.0,210.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Venice Zip Market,34292,$207k-$436k,130.0,130.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Hollywood Zip Market,33026,$152k-$321k,168.0,168.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Hialeah Zip Market,33015,$171k-$361k,186.0,186.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Clearwater Zip Market,33755,$228k-$483k,142.0,142.0,Medium,"Within the configured 45-minute drive market for Tampa; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Ponte Vedra Beach Zip Market,32082,$506k-$550k,228.0,228.0,Medium,"Within the configured 45-minute drive market for Jacksonville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Hollywood Zip Market,33021,$171k-$362k,388.0,388.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Punta Gorda Zip Market,33983,$181k-$381k,164.0,164.0,Medium,"Within the configured 45-minute drive market for Fort Myers; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33176,$317k-$550k,168.0,168.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Miami Zip Market,33179,$130k-$271k,434.0,434.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boynton Beach Zip Market,33426,$168k-$356k,183.0,183.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boynton Beach Zip Market,33435,$142k-$299k,400.0,400.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Boca Raton Zip Market,33496,$573k-$550k,193.0,193.0,Medium,"Within the configured 45-minute drive market for West Palm Beach; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Fort Lauderdale Zip Market,33319,$130k-$173k,648.0,648.0,Medium,"Within the configured 45-minute drive market for Fort Lauderdale; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Pompano Beach Zip Market,33068,$171k-$361k,227.0,227.0,Medium,"Within the configured 45-minute drive market for Miami; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
FL,Englewood Zip Market,34224,$184k-$388k,162.0,162.0,Medium,"Within the configured 45-minute drive market for Sarasota; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
